Type,Treatment,ID,UID,Count,RPKM
FKI,KI,192R3,S192R3,537,2.577065728
FKI,KI,192R5,S192R5,493,2.535807413
FKI,KI,193L2,S193L2,360,1.877332994
FKI,KI,193R2,S193R2,494,2.30764958
FKI,KI,204L1,S204L1,462,2.109872822
FKI,KI,204L2,S204L2,487,2.38189211
FKI,KI,204R1,S204R1,391,2.021043652
FKI,KI,217R1,S217R1,621,2.971311606
FKI,KI,238R3,S238R3,698,3.290145266
FWT,WT,155L6,S155L6,328,1.457251122
FWT,WT,155L7,S155L7,388,1.956925029
FWT,WT,155R1,S155R1,280,1.469648717
FWT,WT,155R2,S155R2,331,1.557912864
FWT,WT,159R4,S159R4,333,1.952483886
FWT,WT,192L1,S192L1,487,2.333720009
FWT,WT,193L5,S193L5,255,1.273865334
FWT,WT,241L1,S241L1,252,1.421125574
FWT,WT,242R4,S242R4,354,1.955926542
MKI,KI,155R3,S155R3,362,1.782030168
MKI,KI,193R1,S193R1,301,1.399908121
MKI,KI,193R4,S193R4,201,1.121285733
MKI,KI,195R1,S195R1,307,1.48968555
MKI,KI,238L2,S238L2,341,1.530033506
MKI,KI,238R1,S238R1,525,3.262892834
MWT,WT,159L2,S159L2,302,1.535839774
MWT,WT,192L2,S192L2,229,1.398254072
MWT,WT,192R1,S192R1,577,2.655687469
MWT,WT,193L4,S193L4,364,1.612137982
MWT,WT,195L2,S195L2,548,2.477313219
MWT,WT,195R2,S195R2,378,1.748303251
MWT,WT,217L3,S217L3,259,1.279093256
MWT,WT,238L1,S238L1,501,2.441718116
MWT,WT,238R2,S238R2,355,1.665661741
MWT,WT,241L3,S241L3,246,1.580556137
MWT,WT,241L4,S241L4,251,1.535989488
MWT,WT,242L1,S242L1,314,1.719703158
