Geneid,X155L6_featureCounts,X195R2_featureCounts,X241L1_featureCounts,X242R4_featureCounts
ENSMUSG00000102693.2,0,0,0,0
ENSMUSG00000064842.3,0,0,0,0
ENSMUSG00000051951.6,148,120,297,226
ENSMUSG00000102851.2,0,0,2,0
ENSMUSG00000103377.2,14,24,13,32
ENSMUSG00000104017.2,12,6,18,6
ENSMUSG00000103025.2,6,8,7,4
ENSMUSG00000089699.2,0,0,0,0
ENSMUSG00000103201.2,14,10,2,2
ENSMUSG00000103147.2,97,40,40,62
ENSMUSG00000103161.2,6,4,14,12
ENSMUSG00000102331.2,35,16,49,23
ENSMUSG00000102348.2,0,0,0,0
ENSMUSG00000102592.2,0,0,0,0
ENSMUSG00000088333.4,0,0,0,0
ENSMUSG00000102343.2,0,0,0,0
ENSMUSG00000025900.14,8,10,7,14
ENSMUSG00000102948.2,0,0,0,0
ENSMUSG00000104123.2,0,0,0,0
ENSMUSG00000025902.14,3329,2546,2607,2571
ENSMUSG00000104238.2,24,41,32,31
ENSMUSG00000102269.2,132,96,109,90
ENSMUSG00000118917.1,11,7,10,24
ENSMUSG00000103003.2,0,0,14,0
ENSMUSG00000104328.2,26,26,37,23
ENSMUSG00000102735.2,0,8,0,0
ENSMUSG00000098104.2,76,35,49,38
ENSMUSG00000102175.2,14,8,10,19
ENSMUSG00002075947.1,7,14,4,2
ENSMUSG00000103265.2,12,15,16,19
ENSMUSG00000103922.2,243,174,146,160
ENSMUSG00000033845.14,1710,1857,1472,1431
ENSMUSG00000102275.2,69,49,48,37
ENSMUSG00000120403.1,20,30,37,26
ENSMUSG00000025903.15,3696,3078,2711,2449
ENSMUSG00000104217.2,0,0,0,0
ENSMUSG00000033813.16,3525,3037,2612,2174
ENSMUSG00000062588.5,168,171,98,150
ENSMUSG00000103280.2,23,28,41,84
ENSMUSG00000002459.18,32,19,24,7
ENSMUSG00000091305.2,2,2,0,6
ENSMUSG00000102653.2,0,8,2,0
ENSMUSG00000085623.2,3,8,2,0
ENSMUSG00000091665.2,0,0,0,0
ENSMUSG00000033793.13,6224,4999,4004,4085
ENSMUSG00000104352.2,0,0,0,0
ENSMUSG00000104046.2,4,2,4,4
ENSMUSG00000102907.2,0,2,0,0
ENSMUSG00000025905.15,0,0,2,5
ENSMUSG00000103936.2,0,0,0,0
ENSMUSG00002076544.1,0,0,0,0
ENSMUSG00000103519.2,2,0,0,0
ENSMUSG00000033774.5,4,0,4,18
