X,wt2VehM0,wt3VehM0,wt4VehM0,wt2DexM0,wt3DexM0,wt4DexM0
0610005C13Rik,4.18918483215213,1.01524076310994,1.56493170801804,2.14051029686958,0,0.772801550728968
0610007P14Rik,348.540178035057,396.959138375985,384.190734318429,310.373993046089,356.328836025074,337.714277668559
0610009B22Rik,191.864665312567,178.682374307349,192.486600086219,201.207967905741,168.787343380298,187.01797527641
0610009L18Rik,10.0540435971651,16.243852209759,17.2142487881984,6.42153089060875,11.9344586228494,13.1376263623925
0610009O20Rik,330.945601740018,334.014211063169,343.50250990996,344.622157796003,340.98453208141,309.893421842316
0610010F05Rik,506.891364690408,520.818511475397,504.690475835818,796.269830435485,922.363159280215,928.90746397622
0610010K14Rik,177.62143688325,179.697615070459,192.486600086219,191.575671569828,168.787343380298,166.925134957457
0610011F06Rik,59.4864246165602,55.8382419710464,74.3342561308569,50.3019919764352,57.9673704538397,62.5969256090464
0610012G03Rik,330.107764773588,309.64843274853,361.499224552167,269.704297405567,312.00084685449,279.754161363886
0610012H03Rik,0,0,0,0,0,0
0610030E20Rik,461.648168503165,403.050582954644,430.356219704961,490.176857983134,496.132494178452,504.639412626016
0610031J06Rik,3392.40187707679,3509.68731807105,3665.85252603226,3293.17509173385,3189.91029762159,3224.12806964126
0610037L13Rik,149.972816991046,169.545207439359,174.489885444011,147.695210484001,179.01687934274,135.240271377569
0610038B21Rik,119.810686199551,117.767928520752,103.285492729191,109.166025140349,98.885514303609,86.5537736816444
0610039K10Rik,319.215884209992,239.596820093945,194.833997648246,640.012578764005,509.771875461708,343.896690074391
0610040B10Rik,9.21620663073468,2.03048152621987,5.47726097806314,8.56204118747833,6.81969064162821,6.95521395656071
0610040F04Rik,58.6485876501298,38.5791489981775,47.7304170945502,29.9671441561742,22.1639945852917,31.6848635798877
0610040J01Rik,5.02702179858255,3.04572228932981,4.69479512405412,4.28102059373916,1.70492266040705,2.3184046521869
0610043K17Rik,0.837836966430426,1.01524076310994,0.78246585400902,0,0,0.772801550728968
1010001N08Rik,0,0,0,0,0,0
1100001G20Rik,2.51351089929128,0,0,2.14051029686958,0,3.09120620291587
1110001A16Rik,190.188991379707,178.682374307349,161.970431779867,195.856692163567,199.475951267625,186.245173725681
1110001J03Rik,14.2432284293172,11.1676483942093,10.9545219561263,21.4051029686958,3.4098453208141,17.0016341160373
1110002L01Rik,185.999806547555,181.728096596678,177.619748860048,127.36036266374,165.377498059484,129.057858971738
1110004E09Rik,92.9999032737773,88.3259463905644,78.246585400902,105.955259695044,81.8362876995385,90.4177814352893
1110004F10Rik,1095.05291512457,1129.96296934136,1204.21494931988,1101.2925477394,1067.28158541481,1051.0101089914
1110006O24Rik,5.02702179858255,3.04572228932981,7.8246585400902,5.35127574217396,5.11476798122115,5.40961085510278
1110007C09Rik,1534.07948553411,1343.16352959444,1246.46810543637,1642.8416528474,1531.02054904553,1421.18205179057
1110008F13Rik,973.566554992155,1020.31696692548,989.81930532141,885.101007755572,990.560065696497,950.545907396631
1110008L16Rik,164.216045420363,180.712855833568,160.405500071849,149.835720780871,173.902111361519,161.515524102354
1110008P14Rik,240.459209365532,253.810190777484,220.655370830544,269.704297405567,303.476233552455,272.798947407326
1110012L19Rik,171.756578118237,202.032911858877,161.187965925858,184.083885530784,187.541492644776,205.565212493906
1110017D15Rik,0,1.01524076310994,0.78246585400902,1.07025514843479,0,0.772801550728968
1110019D14Rik,82.9458596766121,62.944927312816,64.9446658827487,49.2317368280004,59.6722931142468,61.0513225075885
1110020A21Rik,3.3513478657217,7.10668534176955,3.9123292700451,3.21076544530437,5.11476798122115,3.86400775364484
1110028F11Rik,0,0,0,0,0,0
1110028F18Rik,0,0,0,0,0,0
1110032A03Rik,264.756481392015,271.069283750353,223.002768392571,263.282766514959,293.246697590013,271.253344305868
1110032F04Rik,0,0,0,0,0,0
1110034G24Rik,62.8377724822819,76.1430572332451,69.6394610068028,59.9342883123483,56.2624477934327,46.3680930437381
1110036E04Rik,0,0,0,0,0,0
1110037F02Rik,872.188282054073,909.655723746502,883.403949176183,797.340085583919,775.739810485208,884.857775584669
1110038B12Rik,209.459241607606,172.590929728689,174.489885444011,208.699753944784,204.590719248846,183.153967522765
1110038F14Rik,191.864665312567,174.621411254909,162.752897633876,184.083885530784,146.623348795006,138.331477580485
1110046J04Rik,45.243196187243,26.3962598408583,38.340826846442,33.1779096014785,32.393530547734,32.4576651306167
1110051M20Rik,135.729588561729,112.691724705203,122.064673225407,125.219852366871,153.443039436635,106.646614000598
1110054M08Rik,25.1351089929128,22.3352967884186,16.4317829341894,11.7728066327827,18.7541492644776,27.0480542755139
1110057K04Rik,626.702050889959,713.714256466284,710.47899544019,602.553648568787,589.90324050084,619.786843684632
1110058L19Rik,59.4864246165602,70.0516126545855,58.6849390506765,70.6368397966962,46.0329118309904,67.2337349134202
1110059E24Rik,135.729588561729,172.590929728689,166.665226903921,257.931490772785,269.377780344314,258.888519494204
1110059G10Rik,158.35118665535,173.606170491799,164.317829341894,157.327506819914,175.607034021926,181.608364421307
