GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050896	response to stimulus	4.52062822582182e-05	4.52062822582182e-05	+1	ENSG00000035664,ENSG00000060718,ENSG00000068383,ENSG00000068831,ENSG00000070404,ENSG00000071282,ENSG00000096060,ENSG00000099998,ENSG00000100033,ENSG00000101342,ENSG00000101347,ENSG00000102554,ENSG00000103175,ENSG00000106617,ENSG00000110756,ENSG00000111859,ENSG00000112936,ENSG00000115457,ENSG00000116194,ENSG00000116285,ENSG00000119138,ENSG00000119139,ENSG00000119508,ENSG00000120129,ENSG00000120162,ENSG00000124440,ENSG00000125148,ENSG00000126803,ENSG00000127324,ENSG00000128045,ENSG00000132518,ENSG00000134243,ENSG00000135821,ENSG00000136237,ENSG00000136478,ENSG00000138829,ENSG00000139132,ENSG00000140807,ENSG00000141401,ENSG00000143127,ENSG00000145390,ENSG00000145675,ENSG00000146122,ENSG00000149218,ENSG00000150907,ENSG00000151726,ENSG00000152583,ENSG00000154734,ENSG00000157150,ENSG00000157214,ENSG00000157514,ENSG00000162493,ENSG00000162616,ENSG00000162772,ENSG00000163083,ENSG00000163171,ENSG00000163251,ENSG00000163513,ENSG00000163661,ENSG00000163884,ENSG00000164442,ENSG00000166741,ENSG00000167642,ENSG00000168309,ENSG00000168621,ENSG00000169271,ENSG00000169715,ENSG00000170214,ENSG00000171819,ENSG00000174697,ENSG00000177283,ENSG00000177575,ENSG00000179094,ENSG00000179593,ENSG00000180914,ENSG00000185950,ENSG00000187193,ENSG00000189221,ENSG00000196569,ENSG00000197381,ENSG00000197769,ENSG00000205364,ENSG00000211445,ENSG00000221866,ENSG00000221869
GO:2000145	regulation of cell motility	0.000189393597451329	0.000189393597451329	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000167642,ENSG00000168309,ENSG00000172403,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
GO:0030334	regulation of cell migration	0.000293404155283689	0.000293404155283689	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000168309,ENSG00000172403,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
GO:0040012	regulation of locomotion	0.000381576819148782	0.000381576819148782	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000167642,ENSG00000168309,ENSG00000172403,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
GO:0040011	locomotion	0.0018913852076203	0.0018913852076203	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000167642,ENSG00000168309,ENSG00000168621,ENSG00000172403,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
GO:0046323	glucose import	0.00912860743202681	0.00912860743202681	+1	ENSG00000106617,ENSG00000134243,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:1904659	glucose transmembrane transport	0.00977611387485526	0.00977611387485526	+1	ENSG00000106617,ENSG00000119508,ENSG00000134243,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0071294	cellular response to zinc ion	0.00986741438924152	0.00986741438924152	+1	ENSG00000125148,ENSG00000169715,ENSG00000187193,ENSG00000205364
GO:0010827	regulation of glucose transmembrane transport	0.00988523565597167	0.00988523565597167	+1	ENSG00000106617,ENSG00000119508,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0008645	hexose transmembrane transport	0.0116276656344101	0.0116276656344101	+1	ENSG00000106617,ENSG00000119508,ENSG00000134243,ENSG00000145675,ENSG00000163884,ENSG00000174697,ENSG00000185950
GO:0048513	animal organ development	0.0127085202223818	0.0127085202223818	+1	ENSG00000046653,ENSG00000060718,ENSG00000081052,ENSG00000100242,ENSG00000102554,ENSG00000103196,ENSG00000109906,ENSG00000116285,ENSG00000119508,ENSG00000131831,ENSG00000136383,ENSG00000138829,ENSG00000140807,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162772,ENSG00000163083,ENSG00000163110,ENSG00000163251,ENSG00000163513,ENSG00000163661,ENSG00000163884,ENSG00000164442,ENSG00000166741,ENSG00000167642,ENSG00000168621,ENSG00000171819,ENSG00000174697,ENSG00000179593,ENSG00000180914,ENSG00000185432,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866,ENSG00000221869,ENSG00000253368
GO:0016477	cell migration	0.012782658918652	0.012782658918652	+1	ENSG00000035664,ENSG00000100242,ENSG00000111859,ENSG00000119508,ENSG00000120129,ENSG00000135821,ENSG00000140807,ENSG00000145675,ENSG00000146122,ENSG00000154734,ENSG00000162493,ENSG00000162614,ENSG00000163513,ENSG00000164442,ENSG00000167549,ENSG00000168309,ENSG00000168621,ENSG00000172403,ENSG00000174697,ENSG00000179593,ENSG00000185950,ENSG00000196569,ENSG00000197381,ENSG00000221866
