"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"FBLN1",0,8.01646222340021,0.951,0.026,0,"FBLN1"
"LUM",0,7.91167792174732,0.947,0.033,0,"LUM"
"GPC3",0,7.89069728465031,0.737,0.011,0,"GPC3"
"DPT",0,7.81435483045658,0.438,0.004,0,"DPT"
"FIBIN",0,7.70157029247093,0.74,0.009,0,"FIBIN"
"HSD11B1",0,7.69858775197969,0.396,0.003,0,"HSD11B1"
"NKD2",0,7.68511165415475,0.32,0.003,0,"NKD2"
"FIGF",0,7.62050189749839,0.477,0.006,0,"FIGF"
"PDGFRA",0,7.57778851354488,0.549,0.006,0,"PDGFRA"
"COL13A1",0,7.5709274238831,0.253,0.002,0,"COL13A1"
"GDF10",0,7.54758663906734,0.326,0.003,0,"GDF10"
"SVEP1",0,7.48592350126947,0.312,0.003,0,"SVEP1"
"CA3",0,7.41683251799585,0.473,0.01,0,"CA3"
"OLFML3",0,7.26362415058966,0.589,0.008,0,"OLFML3"
"SCN7A",0,7.031515496838,0.764,0.017,0,"SCN7A"
"CHRDL1",0,7.02739395035614,0.344,0.003,0,"CHRDL1"
"CDH11",0,7.02533708549074,0.395,0.004,0,"CDH11"
"SLIT2",0,6.98917249635664,0.516,0.009,0,"SLIT2"
"TMEM119",0,6.9503006232856,0.257,0.002,0,"TMEM119"
"ADH1B",0,6.93447208121208,0.987,0.038,0,"ADH1B"
"CCBE1",0,6.92871026109139,0.373,0.004,0,"CCBE1"
"MAMDC2",0,6.90432836616384,0.63,0.01,0,"MAMDC2"
"ABCA6",0,6.73457768410712,0.43,0.006,0,"ABCA6"
"MMP2",0,6.63445689726756,0.71,0.016,0,"MMP2"
"DCN",0,6.57830338622673,0.998,0.076,0,"DCN"
"RARRES1",0,6.56409993222013,0.311,0.011,0,"RARRES1"
"MFAP4",0,6.48363918308039,0.845,0.022,0,"MFAP4"
"SAA1",0,6.42656037904111,0.333,0.024,0,"SAA1"
"TCF21",0,6.32915368664615,0.741,0.018,0,"TCF21"
"APOD",0,6.3155690649955,0.786,0.057,0,"APOD"
"RARRES2",0,6.27349322767144,0.959,0.062,0,"RARRES2"
"C1S",0,6.26244423124729,0.941,0.04,0,"C1S"
"ANGPT1",0,6.25740168395341,0.459,0.009,0,"ANGPT1"
"FGFR4",0,6.22795073350623,0.569,0.012,0,"FGFR4"
"PRELP",0,6.18502379121515,0.837,0.033,0,"PRELP"
"FBLN5",0,6.17409481968797,0.788,0.031,0,"FBLN5"
"COL3A1",0,6.05788767662018,0.358,0.008,0,"COL3A1"
"EMILIN1",0,6.03080969078873,0.515,0.013,0,"EMILIN1"
"ABCA8",0,5.97376756093615,0.398,0.008,0,"ABCA8"
"SLC38A5",0,5.93252698848087,0.304,0.007,0,"SLC38A5"
"ITGA8",0,5.89799091044525,0.425,0.01,0,"ITGA8"
"PLEKHH2",0,5.89599642512612,0.569,0.02,0,"PLEKHH2"
"PTPRS",0,5.83819966446984,0.313,0.012,0,"PTPRS"
"PODN",0,5.78659382025167,0.25,0.005,0,"PODN"
"VGLL3",0,5.70707019316052,0.294,0.007,0,"VGLL3"
