"","gene_symbol","pval","padj","log2fc"
"1","MIR1302-2HG",0.999858672870798,0.999988108847249,15.8628405137488
"2","FAM138A",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"3","OR4F5",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"4","AL627309.1",0.700882848404367,0.999988108847249,-0.636041023657632
"5","AL627309.3",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"6","AL627309.2",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"7","AL627309.4",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"8","AL732372.1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"9","OR4F29",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"10","AC114498.1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"11","OR4F16",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"12","AL669831.2",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"13","AL669831.5",0.311910867256305,0.999988108847249,0.422382102897332
"14","FAM87B",0.645923598849893,0.999988108847249,Inf
"15","LINC00115",0.00212375114088314,0.0336674723595864,-1.53256670084201
"16","FAM41C",0.0489857771529249,0.378022318029175,-0.762291333108702
"17","AL645608.7",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"18","AL645608.3",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"19","AL645608.5",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"20","AL645608.1",0.66436714948711,0.999988108847249,Inf
"21","SAMD11",0.999698915119903,0.999988108847249,15.9650022426069
"22","NOC2L",0.15361864035343,0.803879226115361,0.0814126996994161
"23","KLHL17",0.112909692157293,0.669631344928611,1.20309232760666
"24","PLEKHN1",0.190820183706871,0.921752458758611,Inf
"25","PERM1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"26","AL645608.8",0.999865744707246,0.999988108847249,4.25735831331087
"27","HES4",0.604147831817701,0.999988108847249,0.310664007156176
"28","ISG15",0.305640863493731,0.999988108847249,0.197152958328301
"29","AL645608.2",0.999780795844114,0.999988108847249,16.9023111338918
"30","AGRN",0.531278224225511,0.999988108847249,0.330819554008537
"31","AL645608.9",0.615670657992922,0.999988108847249,-0.603086955028036
"32","RNF223",0.999817404105709,0.999988108847249,15.8627852345827
"33","C1orf159",0.376899979541542,0.999988108847249,0.205459377337652
"34","LINC01342",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"35","AL390719.2",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"36","TTLL10-AS1",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"37","TTLL10",0.999988108847249,0.999988108847249,-0.00000000000283585951418763
"38","TNFRSF18",0.000000000145179116995793,0.00000000888506793030092,0.305073323252798
